"Step","ablation_r16_e10_20260609_0743 - val/loss","ablation_r16_e10_20260609_0743 - val/loss__MIN","ablation_r16_e10_20260609_0743 - val/loss__MAX","ablation_r8_e5_20260609_0743 - val/loss","ablation_r8_e5_20260609_0743 - val/loss__MIN","ablation_r8_e5_20260609_0743 - val/loss__MAX","ablation_r4_e3_20260609_0743 - val/loss","ablation_r4_e3_20260609_0743 - val/loss__MIN","ablation_r4_e3_20260609_0743 - val/loss__MAX"
"0","0.6073940175194894","0.6073940175194894","0.6073940175194894","0.6100587623734628","0.6100587623734628","0.6100587623734628","0.6278884401244502","0.6278884401244502","0.6278884401244502"
"1","0.5501987232315925","0.5501987232315925","0.5501987232315925","0.5677481168700803","0.5677481168700803","0.5677481168700803","0.5939808660937894","0.5939808660937894","0.5939808660937894"
"2","0.5349973997762126","0.5349973997762126","0.5349973997762126","0.5491413051082242","0.5491413051082242","0.5491413051082242","0.5863357407431449","0.5863357407431449","0.5863357407431449"
"3","0.528030909838215","0.528030909838215","0.528030909838215","0.5426707671534631","0.5426707671534631","0.5426707671534631","","",""
"4","0.5238175959356369","0.5238175959356369","0.5238175959356369","0.5409043181327081","0.5409043181327081","0.5409043181327081","","",""
"5","0.5211511129333127","0.5211511129333127","0.5211511129333127","","","","","",""
"6","0.5190966244666807","0.5190966244666807","0.5190966244666807","","","","","",""
"7","0.5179540207309108","0.5179540207309108","0.5179540207309108","","","","","",""
"8","0.5171082164010694","0.5171082164010694","0.5171082164010694","","","","","",""
"9","0.516857591367537","0.516857591367537","0.516857591367537","","","","","",""
